,molecule_chembl_id,canonical_smiles,bioactivity_class,MW,LogP,NumHDonors,NumHAcceptors,pIC50
331,CHEMBL4561692,COc1ncc(-c2cc3c(c(NC(=O)CN4CCOCC4)c2)COC3)cc1NS(C)(=O)=O,inactive,462.52800000000025,1.4295999999999993,2.0,8.0,5.0
332,CHEMBL4569508,O=C(NCC(F)(F)F)c1cc(-c2cnn3cc(-c4ccc(OCCN5CCCCC5)cc4)cnc23)cs1,inactive,529.5880000000004,5.2816000000000045,1.0,7.0,4.494850021680094
333,CHEMBL4550702,Cn1cc(-c2cnc3c(-c4csc(C(=O)NCC(F)(F)F)c4)cnn3c2)cn1,inactive,406.39300000000003,3.150400000000001,1.0,7.0,4.0
334,CHEMBL4568087,Cn1cc(-c2cnc3c(-c4csc(C(=O)N[C@@H]5CCCC[C@@H]5N)c4)cnn3c2)cn1,inactive,421.5300000000002,2.8580000000000005,2.0,8.0,5.0
335,CHEMBL4552628,Cc1sc(C(=O)N[C@@H]2[C@H](N)CCCC2(F)F)cc1-c1cnn2cc(Cl)cnc12,inactive,425.89200000000005,3.664520000000002,2.0,6.0,4.0
336,CHEMBL4634634,C[C@@H]1C[C@H]1C(=O)N1CCN(c2cnc(C#N)c(-c3cnn(C)c3)n2)C[C@H]1C,inactive,365.4410000000001,1.4418799999999996,0.0,7.0,4.861066059743076
338,CHEMBL552462,COc1ccc(Nc2nc(N)c(C(=O)c3ccc(OC)c(OC)c3)s2)cc1,inactive,385.4450000000001,3.7257000000000016,2.0,8.0,4.522878745280337
339,CHEMBL552462,COc1ccc(Nc2nc(N)c(C(=O)c3ccc(OC)c(OC)c3)s2)cc1,active,385.4450000000001,3.7257000000000016,2.0,8.0,7.221848749616356
340,CHEMBL3134157,Cc1cc(CS(=O)(=O)c2ccccc2)cc(OCc2ccc(CN3CCC[C@@H]3CO)cc2)c1,active,465.61500000000035,4.504620000000005,1.0,5.0,7.3979400086720375
342,CHEMBL4756733,CCCCCCCCCCCCCC[C@H]1NC[C@H](N)[C@@H]1O,inactive,298.515,3.737600000000001,3.0,3.0,4.0
344,CHEMBL4877410,O=C(N/N=C/c1ccc2c(c1)OCCO2)c1cc(-c2ccc3ccccc3c2)[nH]n1,inactive,398.42199999999997,3.7650000000000023,2.0,5.0,5.0
345,CHEMBL4869467,COc1ccc(/C=N/NC(=O)c2cc(-c3ccc4ccccc4c3)[nH]n2)cc1,inactive,370.41200000000003,4.0024000000000015,2.0,4.0,5.0
