molecule_chembl_id,canonical_smiles,bioactivity_class,standard_value
CHEMBL3763496,Clc1ccc(-c2nnc(NCc3ccncc3)o2)cc1,intermediate,3100.0
CHEMBL2409891,OC[C@H]1C[C@@H](O)CCN1CCc1ccc(Nc2nc(-c3ccc(C(F)(F)F)cc3)cs2)cc1,active,10.0
CHEMBL3813893,COc1cccc(COc2ccc(/C=N/NC(=O)c3ccc(O)c(O)c3)cc2)c1,inactive,25320.0
CHEMBL3814178,COc1cccc(COc2ccc(/C=N/NC(=O)c3cc(O)cc(O)c3)cc2)c1,inactive,100000.0
CHEMBL3814952,COc1cccc(COc2cccc(/C=N/NC(=O)c3ccc(O)cc3)c2)c1,inactive,100000.0
CHEMBL3813800,COc1cccc(COc2cccc(/C=N/NC(=O)c3cccc(O)c3)c2)c1,inactive,100000.0
CHEMBL3814464,COc1cccc(COc2cccc(/C=N/NC(=O)c3ccc(O)c(O)c3)c2)c1,intermediate,5000.0
CHEMBL3813737,COc1cccc(COc2cccc(/C=N/NC(=O)c3cc(O)cc(O)c3)c2)c1,inactive,100000.0
CHEMBL3814344,O=C(N/N=C/c1cccc(OCc2ccccc2)c1)c1ccc2[nH]cnc2c1,inactive,100000.0
CHEMBL3814524,COc1ccc(COc2ccc(/C=N/NC(=O)c3cc(O)c(O)c(O)c3)cc2)cc1,inactive,100000.0
CHEMBL3814880,COc1cccc(COc2ccc(/C=N/NC(=O)c3cc(O)c(O)c(O)c3)cc2)c1,intermediate,4360.0
CHEMBL3815127,COc1ccccc1COc1ccc(/C=N/NC(=O)c2cc(O)c(O)c(O)c2)cc1,inactive,18440.0
CHEMBL3815133,O=C(N/N=C/c1ccc(OCc2ccc3ccccc3c2)cc1)c1cc(O)c(O)c(O)c1,inactive,20610.0
CHEMBL3813759,CC(C)(C)c1ccc(COc2ccc(/C=N/NC(=O)c3cc(O)c(O)c(O)c3)cc2)cc1,inactive,40550.0
CHEMBL3814984,Cc1ccc(COc2ccc(/C=N/NC(=O)c3cc(O)c(O)c(O)c3)cc2)cc1,inactive,32730.0
CHEMBL3814709,N#Cc1ccc(COc2ccc(/C=N/NC(=O)c3cc(O)c(O)c(O)c3)cc2)cc1,inactive,27740.0
CHEMBL3814285,N#Cc1cccc(COc2ccc(/C=N/NC(=O)c3cc(O)c(O)c(O)c3)cc2)c1,inactive,45760.0
CHEMBL3814779,N#Cc1ccccc1COc1ccc(/C=N/NC(=O)c2cc(O)c(O)c(O)c2)cc1,inactive,100000.0
CHEMBL3813951,O=C(N/N=C/c1ccc(OCc2ccc(C(F)(F)F)cc2)cc1)c1cc(O)c(O)c(O)c1,inactive,37400.0
